project,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-3,3,esm2,-45.0751416877081,-74.4094206045769,53.9184799568559,standard,30-50 cm,45.1-74.4 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-3,3,fd,-30,-50,48.9077174774725,standard,30-50 cm,30-50 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-4,4,esm1,-73.9,-106.7,120.544042461345,standard,50-75 cm,73.9-106.7 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-4,4,esm2,-74.4094206045769,-106.456798566076,232.885870250786,standard,50-75 cm,74.4-106.5 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-4,4,fd,-50,-75,91.87808114432124,standard,50-75 cm,50-75 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-5,5,esm1,-106.7,-141.5,127.894288952887,standard,75-100 cm,106.7-141.5 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-5,5,esm2,-106.456798566076,-138.685485961011,655.282103861696,standard,75-100 cm,106.5-138.7 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-5,5,fd,-75,-100,91.87808114432124,standard,75-100 cm,75-100 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-1,1,esm1,0,-13.4,62.2215702010973,standard,0-10 cm,0-13.4 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-1,1,esm2,0,-13.3611704598659,62.5526707608199,standard,0-10 cm,0-13.4 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-1,1,fd,0,-10,46.12251696269894,standard,0-10 cm,0-10 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-2,2,esm1,-13.4,-44.9,103.799529330724,standard,10-30 cm,13.4-44.9 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-2,2,esm2,-13.3611704598659,-45.0751416877081,107.189025341209,standard,10-30 cm,13.4-45.1 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-2,2,fd,-10,-30,89.33768188028446,standard,10-30 cm,10-30 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-3,3,esm1,-44.9,-73.9,26.219617053994,standard,30-50 cm,44.9-73.9 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-3,3,esm2,-45.0751416877081,-74.4094206045769,15.3634091010194,standard,30-50 cm,45.1-74.4 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-3,3,fd,-30,-50,35.171936791436664,standard,30-50 cm,30-50 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-4,4,esm1,-73.9,-106.7,29.6552910127932,standard,50-75 cm,73.9-106.7 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-4,4,esm2,-74.4094206045769,-106.456798566076,51.4101689436963,standard,50-75 cm,74.4-106.5 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-4,4,fd,-50,-75,22.603118149991662,standard,50-75 cm,50-75 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-5,5,esm1,-106.7,-141.5,31.4635404647928,standard,75-100 cm,106.7-141.5 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-5,5,esm2,-106.456798566076,-138.685485961011,263.706941656232,standard,75-100 cm,106.5-138.7 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-5,5,fd,-75,-100,22.603118149991662,standard,75-100 cm,75-100 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-1,1,esm1,0,-13.4,37.060538801001,standard,0-10 cm,0-13.4 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-1,1,esm2,0,-13.3611704598659,37.2541575945011,standard,0-10 cm,0-13.4 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-1,1,fd,0,-10,27.6210389915985,standard,0-10 cm,0-10 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-2,2,esm1,-13.4,-44.9,65.389673446988,standard,10-30 cm,13.4-44.9 cm
