project,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-2,2,esm2,-12.3423706746958,-33.9182778053588,89.9997974601916,standard,10-30 cm,12.3-33.9 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-2,2,fd,-10,-30,89.33768188028446,standard,10-30 cm,10-30 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-3,3,esm1,-33.9,-54.6,29.1399416137748,standard,30-50 cm,33.9-54.6 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-3,3,esm2,-33.9182778053588,-54.9916138267568,31.355764356248,standard,30-50 cm,33.9-55 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-3,3,fd,-30,-50,35.171936791436664,standard,30-50 cm,30-50 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-4,4,esm1,-54.6,-82.1,24.8634299649943,standard,50-75 cm,54.6-82.1 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-4,4,esm2,-54.9916138267568,-82.5742730013498,10.0027437447373,standard,50-75 cm,55-82.6 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-4,4,fd,-50,-75,22.603118149991662,standard,50-75 cm,50-75 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-5,5,esm1,-82.1,-109.6,24.8634299649943,standard,75-100 cm,82.1-109.6 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-5,5,esm2,-82.5742730013498,-109.253153581716,58.9235774909324,standard,75-100 cm,82.6-109.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-5,5,fd,-75,-100,22.603118149991662,standard,75-100 cm,75-100 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-1,1,esm1,0,-12.4,34.2842153276473,standard,0-10 cm,0-12.4 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-1,1,esm2,0,-12.3423706746958,34.3882068531598,standard,0-10 cm,0-12.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-1,1,fd,0,-10,27.6210389915985,standard,0-10 cm,0-10 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-2,2,esm1,-12.4,-33.9,53.8227325521419,standard,10-30 cm,12.4-33.9 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-2,2,esm2,-12.3423706746958,-33.9182778053588,54.7249365032693,standard,10-30 cm,12.3-33.9 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-2,2,fd,-10,-30,53.448955403162664,standard,10-30 cm,10-30 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-3,3,esm1,-33.9,-54.6,20.9486622405113,standard,30-50 cm,33.9-54.6 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-3,3,esm2,-33.9182778053588,-54.9916138267568,25.8578685396264,standard,30-50 cm,33.9-55 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-3,3,fd,-30,-50,24.8531590025885,standard,30-50 cm,30-50 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-4,4,esm1,-54.6,-82.1,18.7266434524297,standard,50-75 cm,54.6-82.1 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-4,4,esm2,-54.9916138267568,-82.5742730013498,13.2122078070078,standard,50-75 cm,55-82.6 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-4,4,fd,-50,-75,17.02422132039125,standard,50-75 cm,50-75 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-5,5,esm1,-82.1,-109.6,18.7266434524297,standard,75-100 cm,82.1-109.6 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-5,5,esm2,-82.5742730013498,-109.253153581716,23.664674321373,standard,75-100 cm,82.6-109.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-5,5,fd,-75,-100,17.02422132039125,standard,75-100 cm,75-100 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-1,1,esm1,0,-12.3,40.8691376859985,standard,0-10 cm,0-12.3 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-1,1,esm2,0,-12.1759325283762,41.4553457554107,standard,0-10 cm,0-12.2 cm
Illinois,fd,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-1,1,fd,0,-10,33.7744979539995,standard,0-10 cm,0-10 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-2,2,esm1,-12.3,-33.9,66.8833580592473,standard,10-30 cm,12.3-33.9 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-2,2,esm2,-12.1759325283762,-33.7990501129983,67.8240717000199,standard,10-30 cm,12.2-33.8 cm
Illinois,fd,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-2,2,fd,-10,-30,63.81835628862801,standard,10-30 cm,10-30 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-3,3,esm1,-33.9,-55.9,48.8199635324839,standard,30-50 cm,33.9-55.9 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-3,3,esm2,-33.7990501129983,-56.4323659783433,53.3946224287549,standard,30-50 cm,33.8-56.4 cm
Illinois,fd,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-3,3,fd,-30,-50,52.100725654454,standard,30-50 cm,30-50 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-4,4,esm1,-55.9,-84.4,33.2284851438118,standard,50-75 cm,55.9-84.4 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-4,4,esm2,-56.4323659783433,-85.9400733633292,39.5951161875998,standard,50-75 cm,56.4-85.9 cm
Illinois,fd,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-4,4,fd,-50,-75,29.147793985800003,standard,50-75 cm,50-75 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-5,5,esm1,-84.4,-112.9,33.2284851438118,standard,75-100 cm,84.4-112.9 cm
