cooplabmst_id,dsp_sample_id,dsp_pedon_id,layer_no,dsp_pedon,sand_pct,silt_pct,clay_pct,texture,bulk_density,water_content,soc_pct,tc_pct,tn_pct,kssl_wsa,yoder_agg_stab_mwd,yoder_agg_stab_total_ws,yoder_ws_2_8,yoder_ws_pt5_2,yoder_ws_250_500,yoder_ws_53_250,ec,p_h,soil_respiration,bglucosidase,bglucosaminidase,alkaline_phosphatase,acid_phosphatase,phosphodiesterase,arylsulfatase,pox_c,ace,weoc,weon,effervescence,plfa_id,kssl_labsampnum,coarse_frag_volume,laydesg_id,hzdesg,hrzdep_t,hrzdep_b,dsp_plot_id,pedon_num,date_sampled,pedon_x,pedon_y,target_soil_name,soil_sampled_name,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,estimated_organic_c,c_tot_ncs,soc_pct_mod,genhz,bd_fill,soc_fill,coarse_frag_fill,hrzdepth,cf_mult,soc_stock_hrz
118,KeC1-2-3,KeC1-2,3,S2018KS179111,NA,NA,NA,,1.305217888,0.23,1.15,NA,NA,13.33333333,0.744553382,NA,NA,NA,NA,NA,NA,NA,0.749106637,42.4601848,43.4747127,156.8380026,297.9370915,59.03912506,18.68289312,281.6029038,1.828286173,NA,NA,,KS-179-SW-111-3-10_25-2018,19N02563,0,118,A,10,25,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,1.1,1.11,1.15,A,1.305217888,1.15,0,15,1,22.515008568
119,KeC1-2-4,KeC1-2,4,S2018KS179111,NA,NA,NA,,1.313456054,0.24,0.75,NA,NA,10,0.61915462,NA,NA,NA,NA,NA,NA,NA,0.779431021,18.36406873,31.16804689,154.015748,118.3637985,102.2604379,31.2397098,198.6127527,1.174103355,NA,NA,,KS-179-SW-111-4-25_36-2018,19N02564,0,119,Bt1,25,36,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,0.8,0.79,0.75,Bt,1.313456054,0.75,0,11,1,10.8360124455
120,KeC1-2-5,KeC1-2,5,S2018KS179111,NA,NA,NA,,1.327269137,0.22,0.59,NA,NA,16.66666667,1.172623784,NA,NA,NA,NA,NA,NA,NA,0.846188999,25.54486508,12.45267513,123.1587693,35.01849458,69.56074564,41.69182478,125.0770674,1.036462424,NA,NA,,KS-179-SW-111-5-36_59-2018,19N02565,0,120,Bt2,36,59,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,0.6,0.61,0.59,Bt,1.327269137,0.59,0,23,1,18.01104218909
121,KeC1-2-6,KeC1-2,6,S2018KS179111,NA,NA,NA,,1.201212785,0.2,0.64,NA,NA,10,0.724944297,NA,NA,NA,NA,NA,NA,NA,0.941087221,17.62042854,13.96485641,69.84655764,19.91162895,41.38111522,28.72551183,115.3186824,0.860085021,NA,NA,,KS-179-SW-111-6-59_78-2018,19N02566,0,121,Btk,59,78,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,0.5,1.39,0.64,Btk,1.201212785,0.64,0,19,1,14.6067474656
122,KeC1-2-7,KeC1-2,7,S2018KS179111,NA,NA,NA,,1.077273137,0.2,0.7,NA,NA,3.333333333,0.341053634,NA,NA,NA,NA,NA,NA,NA,0.811400811,12.88369209,7.461451794,31.21592974,5.535762424,29.74793914,22.17638928,65.33003064,0.745116938,NA,NA,,KS-179-SW-111-7-78_100-2018,19N02567,0,122,Bk,78,100,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,0.4,1.47,0.7,Bk,1.077273137,0.7,0,22,1,16.5900063098
123,KeC1-3-1,KeC1-3,1,S2018KS179112,NA,NA,NA,,0.989217767,0.25,2.12,NA,NA,13.33333333,0.628437999,NA,NA,NA,NA,NA,NA,NA,1.008468461,79.21897723,90.72272663,48.52059423,347.4646757,45.83161674,4.009632534,481.2834225,7.363731581,NA,NA,,KS-179-SW-112-1-0_5-2018,19N02568,0,123,Ap1,0,5,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,2.1,2.07,2.12,A,0.989217767,2.12,0,5,1,10.485708330200001
124,KeC1-3-2,KeC1-3,2,S2018KS179112,NA,NA,NA,,1.182150311,0.26,1.78,NA,NA,6.666666667,0.364983002,NA,NA,NA,NA,NA,NA,NA,0.947138397,50.4142004,38.9644676,38.58895435,289.1995216,30.11909474,9.814741884,430.636523,6.269299132,NA,NA,,KS-179-SW-112-2-5_10-2018,19N02569,0,124,Ap1,5,10,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,1.7,1.69,1.78,A,1.182150311,1.78,0,5,1,10.521137767899999
125,KeC1-3-3,KeC1-3,3,S2018KS179112,NA,NA,NA,,1.181085423,0.19,1.41,NA,NA,20,0.887000553,NA,NA,NA,NA,NA,NA,NA,0.822964166,56.40008068,40.54933503,201.7515668,406.3519004,71.66133734,21.54324403,342.411129,2.434221222,NA,NA,,KS-179-SW-112-3-10_24-2018,19N02570,0,125,Ap2,10,24,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,1.4,1.37,1.41,A,1.181085423,1.41,0,14,1,23.31462625002
126,KeC1-3-4,KeC1-3,4,S2018KS179112,NA,NA,NA,,1.235582603,0.25,0.92,NA,NA,19,0.491409697,NA,NA,NA,NA,NA,NA,NA,0.975037422,28.80387574,29.81549561,159.2259237,132.966327,160.8323733,46.10500579,204.0002792,1.344609485,NA,NA,,KS-179-SW-112-4-24_38-2018,19N02571,0,126,Bt,24,38,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,0.9,0.9,0.92,Bt,1.235582603,0.92,0,14,1,15.914303926639999
127,KeC1-3-5,KeC1-3,5,S2018KS179112,NA,NA,NA,,NA,0.23,0.64,NA,NA,15,0.69975708,NA,NA,NA,NA,NA,NA,NA,0.884452187,23.63865049,13.61679365,161.1387393,54.8087399,99.4734399,28.32335364,136.9139467,0.962118934,NA,NA,,KS-179-SW-112-5-38_61-2018,19N02572,0,127,Btk1,38,61,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,0.6,0.74,0.64,Btk,1.2896228975625,0.64,0,23,1,18.98324905212
