dsp_pedon_id,dsp_plot_id,label_full,label,lu,till,trt,project,soil,site,pedon_x,pedon_y,map,mat,climate
CON-1,CON,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,UnivOfMinnesota,Readlyn,Mower,-92.845294,43.74768,908.68896484375,6.83999967575073,cool_wet
CON-2,CON,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,UnivOfMinnesota,Readlyn,Mower,-92.845601,43.747906,908.68896484375,6.83999967575073,cool_wet
CON-3,CON,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,UnivOfMinnesota,Readlyn,Mower,-92.844985,43.747593,908.68896484375,6.83999967575073,cool_wet
CON-4,CON,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,UnivOfMinnesota,Readlyn,Mower,-92.84107,43.750483,908.68896484375,6.83999967575073,cool_wet
CON-5,CON,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,UnivOfMinnesota,Readlyn,Mower,-92.84134,43.75062,908.68896484375,6.83999967575073,cool_wet
CON-6,CON,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,UnivOfMinnesota,Readlyn,Mower,-92.84078,43.75034,908.68896484375,6.83999967575073,cool_wet
CON-7,CON,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,UnivOfMinnesota,Readlyn,Mower,-92.84329,43.75222,908.68896484375,6.83999967575073,cool_wet
CON-8,CON,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,UnivOfMinnesota,Readlyn,Mower,-92.843677,43.75218,908.68896484375,6.83999967575073,cool_wet
CON-9,CON,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,UnivOfMinnesota,Readlyn,Mower,-92.842882,43.752284,908.68896484375,6.83999967575073,cool_wet
REF-1,REF,Ref - Native,Ref,RANGE,Perennial,Native rangeland,UnivOfMinnesota,Kenyon,Mower,-92.845067,43.746917,908.68896484375,6.83999967575073,cool_wet
REF-2,REF,Ref - Native,Ref,RANGE,Perennial,Native rangeland,UnivOfMinnesota,Kenyon,Mower,-92.8454,43.7469,908.68896484375,6.83999967575073,cool_wet
