project,dsp_pedon_id,dsp_plot_id,label,trt,explanation,lu,till,soil,suborder,soil_sampled_name,pedon_x,pedon_y,map,mat
TexasA&MPt-1,CVT-2-1,CVT-2,BAU,Conv Till - 2,CT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947051,32.774988,441.817993164062,16.4099998474121
TexasA&MPt-1,CVT-2-2,CVT-2,BAU,Conv Till - 2,CT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947051,32.774988,441.817993164062,16.4099998474121
TexasA&MPt-1,CVT-2-3,CVT-2,BAU,Conv Till - 2,CT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947051,32.774988,441.817993164062,16.4099998474121
TexasA&MPt-1,NTM-3-1,NTM-3,SHM,No Till - Mixed - 3,MNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.94738,32.775739,441.817993164062,16.4099998474121
TexasA&MPt-1,NTM-3-2,NTM-3,SHM,No Till - Mixed - 3,MNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.94738,32.775739,441.817993164062,16.4099998474121
TexasA&MPt-1,NTM-3-3,NTM-3,SHM,No Till - Mixed - 3,MNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.94738,32.775739,441.817993164062,16.4099998474121
TexasA&MPt-1,CVT-3-1,CVT-3,BAU,Conv Till - 3,CT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947185,32.775734,441.817993164062,16.4099998474121
TexasA&MPt-1,CVT-3-2,CVT-3,BAU,Conv Till - 3,CT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947185,32.775734,441.817993164062,16.4099998474121
TexasA&MPt-1,CVT-3-3,CVT-3,BAU,Conv Till - 3,CT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947185,32.775734,441.817993164062,16.4099998474121
TexasA&MPt-1,NTR-3-1,NTR-3,SHM,No Till - Rye - 3,RNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947009,32.775683,441.817993164062,16.4099998474121
TexasA&MPt-1,NTR-3-2,NTR-3,SHM,No Till - Rye - 3,RNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947009,32.775683,441.817993164062,16.4099998474121
TexasA&MPt-1,NTR-3-3,NTR-3,SHM,No Till - Rye - 3,RNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947009,32.775683,441.817993164062,16.4099998474121
TexasA&MPt-2,R-1-1,R-1,Ref,Native Rangeland,Native,FORAGE,Perennial,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,MT-1-1,MT-1,BAU,Mulch tillage fallow after sorghum,Mulch tillage fallow after sorghum,CROP,Till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,MT-1-2,MT-1,BAU,Mulch tillage fallow after sorghum,Mulch tillage fallow after sorghum,CROP,Till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,MT-1-3,MT-1,BAU,Mulch tillage fallow after sorghum,Mulch tillage fallow after sorghum,CROP,Till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,NT-2-1,NT-2,SHM,no-till fallow after wheat,no-till fallow after wheat,CROP,No-till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
