project,label,dsp_plot_id,dsp_pedon_id,dsp_sample_id,layer_no,hzdesg,hrzdep_t,hrzdep_b,soc_fill,bd_hybrid
NCState,BAU,CeC3,CeC3-1,CeC3-1-1,1,Ap1,0,5,2.24,1.445915079
NCState,BAU,CeC3,CeC3-1,CeC3-1-2,2,Ap2,5,10,1.68,1.696318856
NCState,BAU,CeC3,CeC3-1,CeC3-1-3,3,C1,10,49,1.34,1.758586333
NCState,BAU,CeC3,CeC3-1,CeC3-1-4,4,2C,49,79,0.44,2.060040953
NCState,BAU,CeC3,CeC3-1,CeC3-1-5,5,3Abp,79,100,0.59,2.257514343
NCState,BAU,CeC3,CeC3-2,CeC3-2-1,1,Ap1,0,5,1.86,1.597733737
NCState,BAU,CeC3,CeC3-2,CeC3-2-2,2,Ap2,5,10,1.72,1.520005495
NCState,BAU,CeC3,CeC3-2,CeC3-2-3,3,C,10,39,1.96,1.841468164
NCState,BAU,CeC3,CeC3-2,CeC3-2-4,4,2C,39,77,0.7,2.086597092
NCState,BAU,CeC3,CeC3-2,CeC3-2-5,5,3Abp,77,94,0.45,2.219559679
NCState,BAU,CeC3,CeC3-3,CeC3-3-1,1,Ap1,0,5,1.92,1.703715772
NCState,BAU,CeC3,CeC3-3,CeC3-3-2,2,Ap2,5,10,1.96,1.843044556
NCState,BAU,CeC3,CeC3-3,CeC3-3-3,3,C,10,45,1.42,2.096055443
NCState,BAU,CeC3,CeC3-3,CeC3-3-4,4,2C,45,66,0.48,2.029543834
NCState,BAU,CeC3,CeC3-3,CeC3-3-5,5,3Abp,66,89,0.69,2.069438673
NCState,BAU,CeC3,CeC3-3,CeC3-3-6,6,3Bbt,89,100,0.34,1.774532143
NCState,Ref,CeF3,CeF3-1,CeF3-1-1,1,A,0,5,8.59,0.311519275
NCState,Ref,CeF3,CeF3-1,CeF3-1-2,2,B,5,10,2.56,1.276998633
NCState,Ref,CeF3,CeF3-1,CeF3-1-3,3,Bt1,10,40,0.49,1.448764711
NCState,Ref,CeF3,CeF3-1,CeF3-1-4,4,Bt2,40,70,0.16,1.686981766
NCState,Ref,CeF3,CeF3-1,CeF3-1-5,5,Bt3,70,100,0.1,1.733727847
NCState,Ref,CeF3,CeF3-2,CeF3-2-1,1,Ap1,0,5,1.95,1.667216238
NCState,Ref,CeF3,CeF3-2,CeF3-2-2,2,Ap2,5,10,1.18,1.986738733
NCState,Ref,CeF3,CeF3-2,CeF3-2-3,3,E,10,40,0.37,2.455715299
NCState,Ref,CeF3,CeF3-2,CeF3-2-4,4,Eb,40,60,0.2,2.176269534
NCState,Ref,CeF3,CeF3-2,CeF3-2-5,5,Bt,60,100,0.15,2.025299702
NCState,SHM,CeH1,CeH1-1,CeH1-1-1,1,Ap1,0,5,2.76,1.052908473
NCState,SHM,CeH1,CeH1-1,CeH1-1-2,2,Ap2,5,10,0.44,1.676189545
NCState,SHM,CeH1,CeH1-1,CeH1-1-3,3,BA,10,44,0.42,2.087445918
NCState,SHM,CeH1,CeH1-1,CeH1-1-4,4,Bt,44,75,0.23,2.076168654
NCState,SHM,CeH1,CeH1-1,CeH1-1-5,5,BC,75,100,0.2,1.965214922
NCState,SHM,CeH1,CeH1-2,CeH1-2-1,1,Ap1,0,5,5.05,0.898058292
NCState,SHM,CeH1,CeH1-2,CeH1-2-2,2,Ap2,5,10,2.18,1.457919909
NCState,SHM,CeH1,CeH1-2,CeH1-2-3,3,BA,10,23,1.43,1.52723451
NCState,SHM,CeH1,CeH1-2,CeH1-2-4,4,Bt,23,49,0.54,1.689649506
NCState,SHM,CeH1,CeH1-2,CeH1-2-5,5,BC,49,100,0.2,1.616589809
NCState,SHM,CeH1,CeH1-3,CeH1-3-1,1,Ap1,0,5,4.58,1.380434188
NCState,SHM,CeH1,CeH1-3,CeH1-3-2,2,Ap2,5,10,2.19,1.801755217
NCState,SHM,CeH1,CeH1-3,CeH1-3-3,3,Bt1,10,16,1.39,2.151724305
NCState,SHM,CeH1,CeH1-3,CeH1-3-4,4,Bt2,16,61,0.54,1.78073767
NCState,SHM,CeH1,CeH1-3,CeH1-3-5,5,Bt3,61,100,0.18,2.001380988
NCState,SHM,CeH2,CeH2-1,CeH2-1-1,1,Ap1,0,5,1.83,1.25529293
NCState,SHM,CeH2,CeH2-1,CeH2-1-2,2,Ap2,5,10,1.72,1.796116584
NCState,SHM,CeH2,CeH2-1,CeH2-1-3,3,Bt1,10,30,0.62,1.8248646905
NCState,SHM,CeH2,CeH2-1,CeH2-1-4,4,Bt2,30,62,0.39,1.83558701
NCState,SHM,CeH2,CeH2-1,CeH2-1-5,5,Bt/BC,62,100,0.15,1.8248646905
NCState,SHM,CeH2,CeH2-2,CeH2-2-1,1,Ap1,0,5,2.12,1.386861016
NCState,SHM,CeH2,CeH2-2,CeH2-2-2,2,Ap2,5,10,1.26,1.728574258
NCState,SHM,CeH2,CeH2-2,CeH2-2-3,3,Bt1,10,15,0.69,1.8248646905
NCState,SHM,CeH2,CeH2-2,CeH2-2-4,4,Bt2,15,58,0.45,1.859111627
NCState,SHM,CeH2,CeH2-2,CeH2-2-5,5,Bt/BC,58,100,0.26,1.693893638
NCState,SHM,CeH2,CeH2-3,CeH2-3-1,1,Ap1,0,5,2.68,1.221097354
NCState,SHM,CeH2,CeH2-3,CeH2-3-2,2,Ap2,5,10,1.48,1.552867201
NCState,SHM,CeH2,CeH2-3,CeH2-3-3,3,Bt1,10,22,1.26,1.938355631
NCState,SHM,CeH2,CeH2-3,CeH2-3-4,4,Bt2,22,52,0.73,1.563841313
NCState,SHM,CeH2,CeH2-3,CeH2-3-5,5,BC,52,100,0.13,1.73421289
NCState,SHM,CeH3,CeH3-1,CeH3-1-1,1,Ap1,0,5,3.08,1.531282759
NCState,SHM,CeH3,CeH3-1,CeH3-1-2,2,Ap2,5,10,1.68,1.756585528
NCState,SHM,CeH3,CeH3-1,CeH3-1-3,3,B/A,10,20,1.09,1.86403485275
NCState,SHM,CeH3,CeH3-1,CeH3-1-4,4,Bt,20,50,0.78,1.688073115
NCState,SHM,CeH3,CeH3-1,CeH3-1-5,5,BC1,50,77,0.33,1.879786612
NCState,SHM,CeH3,CeH3-3,CeH3-3-1,1,Ap1,0,5,2.19,1.565720857
NCState,SHM,CeH3,CeH3-3,CeH3-3-2,2,Ap2,5,10,0.98,1.722511213
NCState,SHM,CeH3,CeH3-3,CeH3-3-3,3,A/B,10,20,0.59,1.884394526
NCState,SHM,CeH3,CeH3-3,CeH3-3-4,4,BCt,20,36,0.72,1.381085966
