project,ref_stat,ref_data,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soil_mass_cum,soc_cum,soil_mass,soc,esm_depth,actual_depth
Illinois,mean,project,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-1,1,esm1,0,-5,540.267693133333,12.973988382903901,540.267693133333,12.973988382903901,0-5 cm,0-5 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-1,1,esm2,0,-5,540.267693133333,12.973988382903901,540.267693133333,12.973988382903901,0-5 cm,0-5 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-2,2,esm1,-5,-10,1295.1535669,27.6210389915985,754.885873766667,14.6470506086946,5-10 cm,5-10 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-2,2,esm2,-5,-10,1295.1535669,27.6210389915985,754.885873766667,14.6470506086946,5-10 cm,5-10 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-3,3,esm1,-10,-29.9,4376.926544344,80.8131371880647,3081.772977444,53.1920981964662,10-30 cm,10-29.9 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-3,3,esm2,-10,-30,4392.41666656667,81.0699943947612,3097.26309966667,53.4489554031627,10-30 cm,10-30 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-4,4,esm1,-29.9,-59.8,9110.19122205674,112.596648154942,4733.26467771273,31.7835109668771,30-60 cm,29.9-59.8 cm
Illinois,mean,project,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-4,4,esm2,-30,-60.2197510516403,9115.32344960175,118.394150723353,4722.90678303509,37.3241563285917,30-60 cm,30-60.2 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-1,1,esm1,0,-5,529.872661499999,14.0675892901635,529.872661499999,14.0675892901635,0-5 cm,0-5 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-1,1,esm2,0,-5.07928967878337,540.267693133333,14.340346277005,540.267693133333,14.340346277005,0-5 cm,0-5.1 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-2,2,esm1,-5,-9.8,1287.10258134,32.986221607446,757.22991984,18.9186323172825,5-10 cm,5-9.8 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-2,2,esm2,-5.07928967878337,-9.85971549631695,1295.1535669,33.2314333267463,754.885873766667,18.8910870497413,5-10 cm,5.1-9.9 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-3,3,esm1,-9.8,-29.8,4382.73244952,96.9334123109414,3095.62986818,63.9471907034954,10-30 cm,9.8-29.8 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-3,3,esm2,-9.85971549631695,-29.8610210874907,4392.41666656667,97.1437492607318,3097.26309966667,63.9123159339855,10-30 cm,9.9-29.9 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-4,4,esm1,-29.8,-61.3,9113.73765585993,162.868382778662,4731.00520633993,65.934970467721,30-60 cm,29.8-61.3 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-4,4,esm2,-29.8610210874907,-62.1648456393336,9115.32344960175,172.924765533452,4722.90678303509,75.7810162727201,30-60 cm,29.9-62.2 cm
