project,method_long,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth,ref_data
OregonState,esm2_mean,mean,BAU,WoCT3-2,WoCT3-2-4,4,esm2,-45.4639267067021,-68.25683036517,3.72173670144691,standard,50-75 cm,45.5-68.3 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-2,WoCT3-2-5,5,esm1,-69.6,-96.1,7.8455900000003,standard,75-100 cm,69.6-96.1 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-2,WoCT3-2-5,5,esm2,-68.25683036517,-95.4926581148848,8.71621822849336,standard,75-100 cm,68.3-95.5 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-3,WoCT3-3-1,1,esm1,0,-8.6,19.59255,standard,0-10 cm,0-8.6 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-3,WoCT3-3-1,1,esm2,0,-8.64384402267081,19.7332000693354,standard,0-10 cm,0-8.6 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-3,WoCT3-3-2,2,esm1,-8.6,-27.2,34.0300119999999,standard,10-30 cm,8.6-27.2 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-3,WoCT3-3-2,2,esm2,-8.64384402267081,-27.517991810703,37.2078259667258,standard,10-30 cm,8.6-27.5 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-3,WoCT3-3-3,3,esm1,-27.2,-45.3,21.8532159999995,standard,30-50 cm,27.2-45.3 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-3,WoCT3-3-3,3,esm2,-27.517991810703,-45.4639267067021,23.4070588286862,standard,30-50 cm,27.5-45.5 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-3,WoCT3-3-4,4,esm1,-45.3,-69.6,19.0944179999984,standard,50-75 cm,45.3-69.6 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-3,WoCT3-3-4,4,esm2,-45.4639267067021,-68.25683036517,15.3103613241984,standard,50-75 cm,45.5-68.3 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-3,WoCT3-3-5,5,esm1,-69.6,-96.1,10.4492149999982,standard,75-100 cm,69.6-96.1 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-3,WoCT3-3-5,5,esm2,-68.25683036517,-95.4926581148848,9.48475621571478,standard,75-100 cm,68.3-95.5 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-1,WoH1-1-1,1,esm1,0,-9.5,44.7974000000001,standard,0-10 cm,0-9.5 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-1,WoH1-1-1,1,esm2,0,-9.60122018087874,45.4077866566243,standard,0-10 cm,0-9.6 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-1,WoH1-1-2,2,esm1,-9.5,-29.2,40.3274319999998,standard,10-30 cm,9.5-29.2 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-1,WoH1-1-2,2,esm2,-9.60122018087874,-29.20992968939,39.771728015555,standard,10-30 cm,9.6-29.2 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-1,WoH1-1-3,3,esm1,-29.2,-48.5,33.7394880000013,standard,30-50 cm,29.2-48.5 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-1,WoH1-1-3,3,esm2,-29.20992968939,-48.5162735274855,34.5267123359514,standard,30-50 cm,29.2-48.5 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-1,WoH1-1-4,4,esm1,-48.5,-73.5,23.5743750000008,standard,50-75 cm,48.5-73.5 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-1,WoH1-1-4,4,esm2,-48.5162735274855,-73.5555795327845,23.6375456570116,standard,50-75 cm,48.5-73.6 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-1,WoH1-1-5,5,esm1,-73.5,-98.9,7.78091500000269,standard,75-100 cm,73.5-98.9 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-1,WoH1-1-5,5,esm2,-73.5555795327845,-98.9661033521043,7.08930034949785,standard,75-100 cm,73.6-99 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-2,WoH1-2-1,1,esm1,0,-9.5,42.03686,standard,0-10 cm,0-9.5 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-2,WoH1-2-1,1,esm2,0,-9.60122018087874,42.5473103555578,standard,0-10 cm,0-9.6 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-2,WoH1-2-2,2,esm1,-9.5,-29.2,49.9989459999994,standard,10-30 cm,9.5-29.2 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-2,WoH1-2-2,2,esm2,-9.60122018087874,-29.20992968939,49.7148181179682,standard,10-30 cm,9.6-29.2 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-2,WoH1-2-3,3,esm1,-29.2,-48.5,14.2295040000005,standard,30-50 cm,29.2-48.5 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-2,WoH1-2-3,3,esm2,-29.20992968939,-48.5162735274855,15.1395834454192,standard,30-50 cm,29.2-48.5 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-2,WoH1-2-4,4,esm1,-48.5,-73.5,10.6899750000014,standard,50-75 cm,48.5-73.5 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-2,WoH1-2-4,4,esm2,-48.5162735274855,-73.5555795327845,9.56018465698207,standard,50-75 cm,48.5-73.6 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-2,WoH1-2-5,5,esm1,-73.5,-98.9,8.85759799999907,standard,75-100 cm,73.5-98.9 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-2,WoH1-2-5,5,esm2,-73.5555795327845,-98.9661033521043,8.87761727911868,standard,75-100 cm,73.6-99 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-3,WoH1-3-1,1,esm1,0,-9.5,35.76759,standard,0-10 cm,0-9.5 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-3,WoH1-3-1,1,esm2,0,-9.60122018087874,36.2915353252279,standard,0-10 cm,0-9.6 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-3,WoH1-3-2,2,esm1,-9.5,-29.2,23.9193639999999,standard,10-30 cm,9.5-29.2 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-3,WoH1-3-2,2,esm2,-9.60122018087874,-29.20992968939,23.418502571145,standard,10-30 cm,9.6-29.2 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-3,WoH1-3-3,3,esm1,-29.2,-48.5,9.94953600000017,standard,30-50 cm,29.2-48.5 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-3,WoH1-3-3,3,esm2,-29.20992968939,-48.5162735274855,10.0785963926634,standard,30-50 cm,29.2-48.5 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-3,WoH1-3-4,4,esm1,-48.5,-73.5,10.1972249999992,standard,50-75 cm,48.5-73.5 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-3,WoH1-3-4,4,esm2,-48.5162735274855,-73.5555795327845,10.2281549757486,standard,50-75 cm,48.5-73.6 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH1-3,WoH1-3-5,5,esm1,-73.5,-98.9,5.97813199999973,standard,75-100 cm,73.5-98.9 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH1-3,WoH1-3-5,5,esm2,-73.5555795327845,-98.9661033521043,5.9259624983451,standard,75-100 cm,73.6-99 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH2-1,WoH2-1-1,1,esm1,0,-7.8,49.0468440000001,standard,0-10 cm,0-7.8 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH2-1,WoH2-1-1,1,esm2,0,-7.83679247213744,50.9320045953905,standard,0-10 cm,0-7.8 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH2-1,WoH2-1-2,2,esm1,-7.8,-27.5,39.4080809999998,standard,10-30 cm,7.8-27.5 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH2-1,WoH2-1-2,2,esm2,-7.83679247213744,-26.9541315185758,39.2251868760979,standard,10-30 cm,7.8-27 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH2-1,WoH2-1-3,3,esm1,-27.5,-47.8,36.0496109999997,standard,30-50 cm,27.5-47.8 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH2-1,WoH2-1-3,3,esm2,-26.9541315185758,-47.909012360261,35.5486277862925,standard,30-50 cm,27-47.9 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH2-1,WoH2-1-4,4,esm1,-47.8,-72.8,18.078000000002,standard,50-75 cm,47.8-72.8 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH2-1,WoH2-1-4,4,esm2,-47.909012360261,-72.7500202166301,18.5865575131264,standard,50-75 cm,47.9-72.8 cm,indv_project
OregonState,esm1_mean,mean,Ref,WoH2-1,WoH2-1-5,5,esm1,-72.8,-99.9,12.7006799999976,standard,75-100 cm,72.8-99.9 cm,indv_project
OregonState,esm2_mean,mean,Ref,WoH2-1,WoH2-1-5,5,esm2,-72.7500202166301,-99.928669817519,10.9975201515948,standard,75-100 cm,72.8-99.9 cm,indv_project
